   60
HE+ 0/H + 1  24/P=4.000D+00/S=1.000D+00/A=4.731D+00/E=0.000D+00/T=CX /ISEL=    1
 5.000D+04 7.000D+04 1.000D+05 1.500D+05 2.000D+05 2.500D+05
 3.000D+05 4.000D+05 5.000D+05 5.900D+05 
 1.628D-14 2.681D-14 3.719D-14 4.282D-14 4.436D-14 4.398D-14
 4.089D-14 3.568D-14 2.851D-14 1.740D-14 8.641D-15 2.585D-15
 8.140D-16 5.516D-16 3.692D-16 2.234D-16 1.474D-16 8.950D-17
 5.324D-17 1.994D-17 8.718D-18 4.668D-18  
HE+ 0/NE+10  24/P=4.000D+00/S=2.000D+01/A=3.811D+00/E=0.000D+00/T=CX /ISEL=   19
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 3.930D-15 3.470D-15 3.150D-15 2.920D-15 2.830D-15 2.740D-15
 2.680D-15 2.630D-15 2.520D-15 2.430D-15 2.370D-15 2.370D-15
 2.400D-15 2.370D-15 2.370D-15 2.290D-15 2.110D-15 1.320D-15
 7.460D-16 2.490D-16 1.100D-16 5.640D-17 1.970D-17 5.060D-18
HE+ 0/HE+ 2  24/P=4.000D+00/S=4.000D+00/A=4.756D+00/E=0.000D+00/T=CX /ISEL=   20
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 2.880D-16 2.620D-16 2.400D-16 2.200D-16 2.060D-16 1.880D-16
 1.750D-16 1.670D-16 1.530D-16 1.370D-16 1.180D-16 1.030D-16
 8.350D-17 7.100D-17 6.000D-17 3.500D-17 1.140D-17 1.880D-18
 4.300D-19 6.700D-20 1.660D-20 5.900D-21 1.200D-21 2.200D-22
HE+ 0/BE+ 4  24/P=4.000D+00/S=9.000D+00/A=3.922D+00/E=0.000D+00/T=CX /ISEL=   21
 5.000D+02 7.000D+02 1.000D+03 1.500D+03 2.000D+03 3.000D+03
 4.000D+03 5.000D+03 7.000D+03 1.000D+04 1.500D+04 2.000D+04
 3.000D+04 4.000D+04 5.000D+04 7.000D+04 1.000D+05 1.500D+05
 2.000D+05 3.000D+05 4.000D+05 5.000D+05 7.000D+05 1.000D+06
 1.340D-16 1.510D-16 1.700D-16 1.900D-16 1.990D-16 2.030D-16
 2.000D-16 1.950D-16 1.800D-16 1.590D-16 1.320D-16 1.100D-16
 8.050D-17 6.300D-17 5.100D-17 3.650D-17 2.450D-17 1.430D-17
 8.600D-18 3.000D-18 9.700D-19 3.700D-19 9.600D-20 2.370D-20
HE+ 0/C + 6  24/P=4.000D+00/S=1.200D+01/A=3.615D+00/E=0.000D+00/T=CX /ISEL=   22
