   57    /O   IONISATION RATE COEFFICIENTS   /
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 4.591D-33 5.398D-21 6.134D-17 6.754D-15 1.155D-13 3.041D-12
 3.647D-11 2.610D-10 7.141D-10 2.013D-09 3.447D-09 4.807D-09
 7.121D-09 9.659D-09 1.228D-08 1.380D-08 1.530D-08 1.588D-08
 1.607D-08 1.598D-08 1.548D-08 1.378D-08 1.092D-08 8.806D-09
O + 2/O + 3/   24/I.P. =           442948.5/ICODE =  1/FCODE =  1/ISEL=  33
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 3.848D-33 4.499D-21 5.109D-17 5.619D-15 9.580D-14 2.500D-12
 2.947D-11 2.055D-10 5.511D-10 1.513D-09 2.548D-09 3.515D-09
 5.137D-09 6.892D-09 8.683D-09 9.705D-09 1.070D-08 1.109D-08
 1.121D-08 1.113D-08 1.078D-08 9.571D-09 7.627D-09 6.248D-09
O + 2/O + 3/   24/I.P. =           514564.0/ICODE =  1/FCODE =  2/ISEL=  34
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 2.165D-37 2.149D-23 1.075D-18 2.488D-16 6.643D-15 2.905D-13
 5.069D-12 4.816D-11 1.511D-10 4.854D-10 8.849D-10 1.280D-09
 1.973D-09 2.754D-09 3.579D-09 4.064D-09 4.558D-09 4.763D-09
 4.844D-09 4.848D-09 4.724D-09 4.234D-09 3.398D-09 2.792D-09
O + 2/O + 3/   24/I.P. =           422887.8/ICODE =  2/FCODE =  0/ISEL=  35
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
 5.000D+02 7.000D+02 1.000D+03 2.000D+03 5.000D+03 1.000D+04
 9.879D-32 3.370D-20 2.535D-16 2.264D-14 3.399D-13 7.626D-12
 7.956D-11 4.979D-10 1.255D-09 3.205D-09 5.180D-09 6.956D-09
 9.830D-09 1.283D-08 1.579D-08 1.742D-08 1.895D-08 1.948D-08
 1.959D-08 1.934D-08 1.863D-08 1.642D-08 1.301D-08 1.063D-08
O + 2/O + 3/   24/I.P. =           422887.8/ICODE =  2/FCODE =  1/ISEL=  36
 1.000D+00 2.000D+00 3.000D+00 4.000D+00 5.000D+00 7.000D+00
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 4.000D+01 5.000D+01
 7.000D+01 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02
