   26    /FE  IONISATION RATE COEFFICIENTS   /
 2.613D-10 2.511D-10 2.395D-10 2.194D-10 2.036D-10
FE+17/FE+18/   23/I.P. =        149023270.4/ICODE =  1/FCODE =  0/ISEL=  18
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 4.756D-69 1.197D-49 5.559D-40 2.530D-30 1.535D-22 3.763D-19
 1.438D-16 1.585D-14 1.725D-13 1.940D-12 6.618D-12 1.392D-11
 3.283D-11 6.283D-11 1.332D-10 1.866D-10 1.966D-10 2.050D-10
 2.059D-10 1.992D-10 1.907D-10 1.754D-10 1.632D-10
FE+18/FE+19/   23/I.P. =        159777527.0/ICODE =  1/FCODE =  0/ISEL=  19
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 1.000D-70 1.384D-52 3.248D-42 7.337D-32 1.570D-23 6.616D-20
 3.827D-17 5.882D-15 7.588D-14 1.016D-12 3.790D-12 8.418D-12
 2.116D-11 4.253D-11 9.581D-11 1.390D-10 1.476D-10 1.554D-10
 1.574D-10 1.533D-10 1.474D-10 1.363D-10 1.272D-10
FE+19/FE+20/   23/I.P. =        173604428.4/ICODE =  1/FCODE =  0/ISEL=  20
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 1.000D-70 2.402D-56 4.687D-45 8.819D-34 1.013D-24 8.697D-21
 8.542D-18 1.973D-15 3.112D-14 5.085D-13 2.094D-12 4.934D-12
 1.327D-11 2.809D-11 6.742D-11 1.013D-10 1.085D-10 1.153D-10
 1.178D-10 1.156D-10 1.116D-10 1.037D-10 9.708D-11
FE+20/FE+21/   23/I.P. =        185346320.8/ICODE =  1/FCODE =  0/ISEL=  21
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 1.000D-70 1.288D-59 1.499D-47 1.676D-35 7.912D-26 1.244D-21
 1.935D-18 6.435D-16 1.222D-14 2.412D-13 1.093D-12 2.731D-12
 7.861D-12 1.753D-11 4.488D-11 6.997D-11 7.552D-11 8.111D-11
 8.355D-11 8.266D-11 8.018D-11 7.489D-11 7.031D-11
FE+21/FE+22/   23/I.P. =        197417425.2/ICODE =  1/FCODE =  0/ISEL=  22
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04
 1.000D-70 4.361D-63 3.268D-50 2.383D-37 5.039D-27 1.506D-22
 3.810D-19 1.864D-16 4.308D-15 1.038D-13 5.208D-13 1.384D-12
 4.282D-12 1.010D-11 2.772D-11 4.498D-11 4.899D-11 5.322D-11
 5.537D-11 5.527D-11 5.390D-11 5.067D-11 4.775D-11
FE+22/FE+23/   24/I.P. =        213987759.4/ICODE =  1/FCODE =  0/ISEL=  23
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04 8.000D+04
 1.000D-70 2.535D-67 2.161D-53 1.658D-39 2.094D-28 1.304D-23
 5.688D-20 4.254D-17 1.219D-15 3.650D-14 2.045D-13 5.816D-13
 1.947D-12 4.882D-12 1.454D-11 2.512D-11 2.792D-11 3.127D-11
 3.358D-11 3.470D-11 3.463D-11 3.353D-11 3.221D-11 2.793D-11
FE+23/FE+24/   24/I.P. =        224412804.1/ICODE =  1/FCODE =  0/ISEL=  24
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04 8.000D+04
 1.000D-70 2.139D-70 8.893D-56 3.324D-41 1.482D-29 1.580D-24
 1.030D-20 1.054D-17 3.535D-16 1.241D-14 7.531D-14 2.247D-13
 7.955D-13 2.084D-12 6.629D-12 1.220D-11 1.384D-11 1.598D-11
 1.769D-11 1.886D-11 1.920D-11 1.906D-11 1.860D-11 1.666D-11
FE+24/FE+25/   24/I.P. =        968760994.7/ICODE =  1/FCODE =  0/ISEL=  25
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04 8.000D+04
 1.000D-70 1.000D-70 1.000D-70 1.000D-70 1.000D-70 1.907D-66
 2.937D-50 9.759D-38 1.683D-31 2.996D-25 4.332D-22 3.608D-20
 6.103D-18 3.071D-16 3.330D-14 3.803D-13 6.291D-13 1.130D-12
 1.769D-12 2.510D-12 2.978D-12 3.491D-12 3.733D-12 3.912D-12
FE+25/FE+26/   24/I.P. =       1018142785.4/ICODE =  1/FCODE =  0/ISEL=  26
 1.000D+01 1.500D+01 2.000D+01 3.000D+01 5.000D+01 7.000D+01
 1.000D+02 1.500D+02 2.000D+02 3.000D+02 4.000D+02 5.000D+02
 7.000D+02 1.000D+03 2.000D+03 4.000D+03 5.000D+03 7.000D+03
 1.000D+04 1.500D+04 2.000D+04 3.000D+04 4.000D+04 8.000D+04
 1.000D-70 1.000D-70 1.000D-70 1.000D-70 1.000D-70 1.635D-69
 1.723D-52 2.526D-39 9.022D-33 3.252D-26 6.635D-23 6.803D-21
 1.467D-18 8.915D-17 1.214D-14 1.560D-13 2.646D-13 4.895D-13
 7.842D-13 1.135D-12 1.361D-12 1.615D-12 1.739D-12 1.845D-12
C-----------------------------------------------------------------------
C
C  ELECTRON IMPACT IONISATION RATE COEFFICIENT LIST:
C
C   ISEL  INITIAL MET.    DESIG.             FINAL  MET.    DESIG.
C           ION   CODE                        ION   CODE
C   ----  ------- ---- ---------------      ------- ---- ---------------
C     1   FE+ 0    1     4S2(5D)             FE+ 1    0    4S1(6D)
C     2   FE+ 1    1     4S1(6D)             FE+ 2    0    3D6(5D)
C     3   FE+ 2    1     3D6(5D)             FE+ 3    0    3D5(6S)
C     4   FE+ 3    1     3D5(6S)             FE+ 4    0    3D4(5D)
C     5   FE+ 4    1     3D4(5D)             FE+ 5    0    3D3(4F)
C     6   FE+ 5    1     3D3(4F)             FE+ 6    0    3D2(3F)
C     7   FE+ 6    1     3D2(3F)             FE+ 7    0    3D1(2D)
C     8   FE+ 7    1     3D1(2D)             FE+ 8    0    3P6(1S)
C     9   FE+ 8    1     3P6(1S)             FE+ 9    0    3P5(2P)
C    10   FE+ 9    1     3P5(2P)             FE+10    0    3P4(3P)
C    11   FE+10    1     3P4(3P)             FE+11    0    3P3(4S)
C    12   FE+11    1     3P3(4S)             FE+12    0    3P2(3P)
C    13   FE+12    1     3P2(3P)             FE+13    0    3P1(2P)
C    14   FE+13    1     3P1(2P)             FE+14    0    3S2(1S)
C    15   FE+14    1     3S2(1S)             FE+15    0    3S1(2S)
C    16   FE+15    1     3S1(2S)             FE+16    0    2P6(1S)
C    17   FE+16    1     2P6(1S)             FE+17    0    2P5(2P)
C    18   FE+17    1     2P5(2P)             FE+18    0    2P4(3P)
C    19   FE+18    1     2P4(3P)             FE+19    0    2P3(4S)
C    20   FE+19    1     2P3(4S)             FE+20    0    2P2(3P)
C    21   FE+20    1     2P2(3P)             FE+21    0    2P1(2P)
C    22   FE+21    1     2P1(2P)             FE+22    0    2S2(1S)
C    23   FE+22    1     2S2(1S)             FE+23    0    2S1(2S)
C    24   FE+23    1     2S1(2S)             FE+24    0    1S2(1S)
C    25   FE+24    1     1S2(1S)             FE+25    0    1S1(2S)
C    26   FE+25    1     1S1(2S)             FE+26    0    *  (1S)
C
C
C         PREFERRED DATA INDICATED BY *
C         ARTIFICIAL DATA SET TO ZERO INDICATED BY #
C
C
C  NOTES.
C ------
C
C     DATA TAKEN FROM
C         ARNAUD AND RAYMOND, 1992, THE ASTROPHYSICAL JOURNAL,
C         V398, PP394-406.
C     THE RATE COEFFICIENTS WERE DERIVED FROM THE PARAMETRIC FIT GIVEN
C     IN THE PAPER AND THEN WRITTEN TO THIS FILE USING THE CODE
C     JETXLE.RECOMB.FORT(ARION). THE PARAMETERS ARE STORED IN THE DATA
C     SET JETXLE.ARNO#ION.DATA(AR92#FE).
C
C     THE DATA WERE PREPARED FOR THE FOLLOWING TEMPERATURE RANGES
C        FE+ 0 TO FE+15,     1EV  - 10KEV
C        FE+16 TO FE+21,    10EV  - 40KEV
C        FE+22 TO FE+25,    10EV  - 80KEV
C
C
C
C
C       WILLIAM J. DICKSON   13TH NOVEMBER 1993
C
C       Update: Allan Whiteford, 28/04/2008
C               Brought list of transitions in the comments into line
C               with the more standard layout of including the
C               configuration and term.
C-----------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF07 DATA - SCCS info: @(#)$Header: /u/xshare/Attic/repos/codesys/source/adas/data/adf07/szd93#fe/szd93#fe_fe.dat,v 1.1 2009-07-30 05:51:20 Marina Gorelenkova Exp $ Date $Date: 2009-07-30 05:51:20 $
C---------------------------------------------------------------------------------
